iter	MultiClass
0	1.066114125
1	1.037228918
2	1.011956361
3	0.9891766162
4	0.9685530538
5	0.9496931526
6	0.9327358809
7	0.9174060072
8	0.9034296727
9	0.8906681839
10	0.8789204328
11	0.8681907575
12	0.8582377172
13	0.8488855583
14	0.8404268899
15	0.8325982426
16	0.8254280468
17	0.8188057893
18	0.8124022649
19	0.8066009656
20	0.8010594214
21	0.7961192503
22	0.791570582
23	0.7873027471
24	0.7835033379
25	0.7798317119
26	0.7764527562
27	0.7730972658
28	0.7701806068
29	0.7674568228
30	0.764808967
31	0.7624367038
32	0.7602611964
33	0.7582619346
34	0.7563402141
35	0.754466345
36	0.752804936
37	0.7513063485
38	0.7497661466
39	0.7484064088
40	0.7471548303
41	0.7459863463
42	0.7448637405
43	0.743841716
44	0.7428879832
45	0.7419545356
46	0.7412167227
47	0.7403958346
48	0.7396904571
49	0.7389737799
50	0.7382865709
51	0.7376791944
52	0.7370229269
53	0.7365060512
54	0.7359781214
55	0.7354791499
56	0.7350734504
57	0.7346662876
58	0.7342818218
59	0.7339520666
60	0.7336602648
61	0.7333077442
62	0.7329571552
63	0.7326652709
64	0.7324280634
65	0.7321237399
66	0.7318992029
67	0.7316081372
68	0.7313739706
69	0.731140989
70	0.7309519213
71	0.7307980535
72	0.730576501
73	0.7303680534
74	0.7301068246
75	0.7299585071
76	0.7298334974
77	0.7296951825
78	0.7295921618
79	0.7293903873
80	0.7292909925
81	0.7291544967
82	0.7290252636
83	0.728839905
84	0.7287265447
85	0.7286401406
86	0.7285029538
87	0.7283670158
88	0.7282748487
89	0.7281976147
90	0.7281123821
91	0.7280331111
92	0.7278736345
93	0.7278044626
94	0.7276987341
95	0.7276299656
96	0.7275295375
97	0.7273930385
98	0.7273238443
99	0.727223009
100	0.7271399273
101	0.7270562716
102	0.726927273
103	0.7268592582
104	0.7267966308
105	0.7267537524
106	0.7266455253
107	0.7265472325
108	0.72648391
109	0.7263942928
110	0.7263293038
111	0.7262807437
112	0.7261958642
113	0.7261394149
114	0.726066381
115	0.725975911
116	0.7259265808
117	0.725862893
118	0.7258182811
119	0.7257523718
120	0.7257036285
121	0.7256597601
122	0.7256230465
123	0.725589169
124	0.7255384469
125	0.7255035146
126	0.725476251
127	0.7254194152
128	0.725333224
129	0.7252856004
130	0.7252105004
131	0.7251723183
132	0.7251185675
133	0.7250719728
134	0.7250270192
135	0.7250018544
136	0.7249342531
137	0.7248731732
138	0.7248405098
139	0.7247903817
140	0.7247353969
141	0.7246915868
